model_name,session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct,recursion_limit_frame,recursion_limit_process,timeout_frame,timeout_process,error_frame,error_process
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09D_seed_1824,base_rule,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09D_seed_409,base_rule,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09D_seed_4506,base_rule,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09D_seed_4012,base_rule,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_42,0_values,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_1824,0_values,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_409,0_values,classic,J09A,409,False,True,True,True,False,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_4506,0_values,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_4012,0_values,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_42,0_values,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_1824,0_values,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_409,0_values,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_4506,0_values,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_4012,0_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09C_seed_42,0_values,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09C_seed_1824,0_values,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09C_seed_409,0_values,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09C_seed_4506,0_values,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09C_seed_4012,0_values,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09D_seed_42,0_values,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09D_seed_1824,0_values,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09D_seed_409,0_values,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09D_seed_4506,0_values,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_classic_tour_J09D_seed_4012,0_values,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09A_seed_42,500_values,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09A_seed_1824,500_values,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09A_seed_409,500_values,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09A_seed_4506,500_values,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09A_seed_4012,500_values,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09B_seed_42,500_values,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09B_seed_1824,500_values,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09B_seed_409,500_values,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09B_seed_4506,500_values,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09B_seed_4012,500_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09C_seed_42,500_values,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09C_seed_1824,500_values,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09C_seed_409,500_values,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09C_seed_4506,500_values,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09C_seed_4012,500_values,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_42,500_values,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_1824,500_values,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_409,500_values,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_4506,500_values,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_4012,500_values,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_42,900_values,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_1824,900_values,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_409,900_values,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_4506,900_values,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_4012,900_values,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09B_seed_42,900_values,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09B_seed_1824,900_values,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09B_seed_409,900_values,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09B_seed_4506,900_values,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09B_seed_4012,900_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_42,900_values,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_1824,900_values,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_409,900_values,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_4506,900_values,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_4012,900_values,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09D_seed_42,900_values,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09D_seed_1824,900_values,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09D_seed_409,900_values,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09D_seed_4506,900_values,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_classic_tour_J09D_seed_4012,900_values,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09A_seed_42,city_values,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09A_seed_1824,city_values,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09A_seed_409,city_values,classic,J09A,409,True,True,True,True,True,False,True,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09A_seed_4506,city_values,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09A_seed_4012,city_values,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09B_seed_42,city_values,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09B_seed_1824,city_values,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09B_seed_409,city_values,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09B_seed_4506,city_values,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09B_seed_4012,city_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09C_seed_42,city_values,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09C_seed_1824,city_values,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09C_seed_409,city_values,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09C_seed_4506,city_values,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09C_seed_4012,city_values,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09D_seed_42,city_values,classic,J09D,42,False,True,True,True,False,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09D_seed_1824,city_values,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09D_seed_409,city_values,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09D_seed_4506,city_values,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_classic_tour_J09D_seed_4012,city_values,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09A_seed_42,extension_estimates,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09A_seed_1824,extension_estimates,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09A_seed_409,extension_estimates,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09A_seed_4506,extension_estimates,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09A_seed_4012,extension_estimates,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09B_seed_42,extension_estimates,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09B_seed_1824,extension_estimates,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09B_seed_409,extension_estimates,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09B_seed_4506,extension_estimates,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09B_seed_4012,extension_estimates,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09C_seed_42,extension_estimates,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09C_seed_1824,extension_estimates,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09C_seed_409,extension_estimates,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09C_seed_4506,extension_estimates,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09C_seed_4012,extension_estimates,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09D_seed_42,extension_estimates,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09D_seed_1824,extension_estimates,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09D_seed_409,extension_estimates,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09D_seed_4506,extension_estimates,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09D_seed_4012,extension_estimates,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09A_seed_42,extension_mail,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09A_seed_1824,extension_mail,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09A_seed_409,extension_mail,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09A_seed_4506,extension_mail,classic,J09A,4506,False,True,True,True,False,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09A_seed_4012,extension_mail,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09B_seed_42,extension_mail,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09B_seed_1824,extension_mail,classic,J09B,1824,False,False,False,False,False,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09B_seed_409,extension_mail,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09B_seed_4506,extension_mail,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09B_seed_4012,extension_mail,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09C_seed_42,extension_mail,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09C_seed_1824,extension_mail,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09C_seed_409,extension_mail,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09C_seed_4506,extension_mail,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09C_seed_4012,extension_mail,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09D_seed_42,extension_mail,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09D_seed_1824,extension_mail,classic,J09D,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09D_seed_409,extension_mail,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09D_seed_4506,extension_mail,classic,J09D,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09D_seed_4012,extension_mail,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
